"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1112.3","MA1112.3",1,3024,50,7.56,6.61375661375661,0.145486387159679,"NR4A1",0.856260769054737
"MA0772.2","MA0772.2",1,3072,50,7.68,6.51041666666667,0.147703532588314,"IRF7",0.856260769054737
"MA1954.2","MA1954.2",1,3084,50,7.71,6.48508430609598,0.148257368934223,"FOXO1::ELK1",0.856260769054737
"MA2338.1","MA2338.1",1,3092,50,7.73,6.46830530401035,0.148626493162329,"Ppara",0.856260769054737
"MA1111.2","MA1111.2",1,3092,50,7.73,6.46830530401035,0.148626493162329,"NR2F2",0.856260769054737
"MA1950.2","MA1950.2",1,3104,50,7.76,6.44329896907217,0.149180029500737,"FLI1::FOXI1",0.856260769054737
"MA0496.4","MA0496.4",1,3105,50,7.7625,6.44122383252818,0.149226149403735,"MAFK",0.856260769054737
"MA0598.4","MA0598.4",1,3131,50,7.8275,6.38773554774832,0.150424828120703,"EHF",0.856260769054737
"MA1540.3","MA1540.3",1,3177,50,7.9425,6.29524708844822,0.152543497337433,"NR5A1",0.856260769054737
"MA2332.1","MA2332.1",1,3189,50,7.9725,6.27155848228285,0.153095758643966,"ZNF175",0.856260769054737
"MA0524.3","MA0524.3",1,3213,50,8.0325,6.22471210706505,0.154199741243531,"TFAP2C.1",0.856260769054737
"MA0712.3","MA0712.3",1,3214,50,8.035,6.22277535780958,0.154245724893122,"OTX2",0.856260769054737
"MA0753.3","MA0753.3",1,3231,50,8.0775,6.19003404518725,0.155027255681392,"ZNF740",0.856260769054737
"MA1631.2","MA1631.2",1,3236,50,8.09,6.18046971569839,0.155257048926223,"ASCL1.1",0.856260769054737
"MA1969.2","MA1969.2",1,3248,50,8.12,6.1576354679803,0.15580842521063,"THRA",0.856260769054737
"MA1106.2","MA1106.2",1,3269,50,8.1725,6.11807892321811,0.156772900572514,"HIF1A",0.856260769054737
"MA0004.1","MA0004.1",1,3332,50,8.33,6.00240096038415,0.159663019075477,"Arnt",0.856260769054737
"MA0058.4","MA0058.4",1,3332,50,8.33,6.00240096038415,0.159663019075477,"MAX",0.856260769054737
"MA0622.2","MA0622.2",1,3332,50,8.33,6.00240096038415,0.159663019075477,"Mlxip",0.856260769054737
"MA0825.2","MA0825.2",1,3332,50,8.33,6.00240096038415,0.159663019075477,"MNT",0.856260769054737
"MA0665.1","MA0665.1",1,3338,50,8.345,5.99161174355902,0.159938009700243,"MSC",0.856260769054737
"MA1999.2","MA1999.2",1,3361,50,8.4025,5.9506099375186,0.160991723543089,"Prdm5",0.856260769054737
"MA0640.3","MA0640.3",1,3391,50,8.4775,5.89796520200531,0.162365139128478,"ELF3",0.856260769054737
"MA1646.2","MA1646.2",1,3439,50,8.5975,5.81564408258215,0.1645602640066,"OSR2",0.856260769054737
"MA1625.2","MA1625.2",1,3441,50,8.6025,5.81226387678,0.164651665041626,"Stat5b",0.856260769054737
"MA0810.2","MA0810.2",1,3459,50,8.6475,5.78201792425557,0.165474049351234,"TFAP2A.1",0.856260769054737
"MA0468.1","MA0468.1",1,3468,50,8.67,5.76701268742791,0.165885089627241,"DUX4",0.856260769054737
"MA0483.2","MA0483.2",1,3490,50,8.725,5.73065902578797,0.166889428485712,"Gfi1B",0.856260769054737
"MA0047.4","MA0047.4",1,3513,50,8.7825,5.69313976658127,0.167938772219305,"FOXA2",0.856260769054737
"MA0660.1","MA0660.1",1,3518,50,8.795,5.68504832291074,0.168166802920073,"MEF2B",0.856260769054737
"MA1508.2","MA1508.2",1,3527,50,8.8175,5.67054153671676,0.168577179429486,"IKZF1",0.856260769054737
"MA1418.2","MA1418.2",1,3560,50,8.9,5.61797752808989,0.170081027025676,"IRF3",0.856260769054737
"MA0761.3","MA0761.3",1,3564,50,8.91,5.61167227833895,0.170263219080477,"ETV1",0.856260769054737
"MA1967.2","MA1967.2",1,3582,50,8.955,5.58347292015634,0.171082835820896,"TFAP4::FLI1",0.856260769054737
"MA1643.2","MA1643.2",1,3583,50,8.9575,5.58191459670667,0.171128358208955,"NFIB",0.856260769054737
"MA0849.1","MA0849.1",1,3590,50,8.975,5.57103064066852,0.171446979924498,"FOXO6",0.856260769054737
"MA0597.3","MA0597.3",1,3675,50,9.1875,5.4421768707483,0.175311070276757,"THAP1",0.87061260323881
"MA0048.3","MA0048.3",1,3746,50,9.365,5.33902829684997,0.178531799544989,"NHLH1",0.881469340777636
"MA0698.2","MA0698.2",1,3790,50,9.475,5.27704485488127,0.180524581864547,"ZBTB18",0.881469340777636
"MA1599.2","MA1599.2",1,3804,50,9.51,5.25762355415352,0.181158141453536,"ZNF682",0.881469340777636
"MA0155.1","MA0155.1",1,3827,50,9.5675,5.22602560752548,0.182198457461436,"INSM1",0.881469340777636
"MA0473.4","MA0473.4",1,3842,50,9.605,5.20562207183758,0.182876568164204,"ELF1",0.881469340777636
"MA0091.2","MA0091.2",1,3860,50,9.65,5.18134715025907,0.183689929748244,"TAL1::TCF3",0.881469340777636
"MA0851.2","MA0851.2",1,3897,50,9.7425,5.13215293815756,0.185360567764194,"Foxj3",0.881469340777636
"MA2122.1","MA2122.1",1,3919,50,9.7975,5.1033426894616,0.186353108827721,"Ebf4",0.881469340777636
"MA0830.3","MA0830.3",1,3941,50,9.8525,5.07485409794468,0.187345044876122,"TCF4",0.881469340777636
"MA0062.4","MA0062.4",1,3945,50,9.8625,5.06970849176172,0.187525331883297,"GABPA",0.881469340777636
"MA1607.2","MA1607.2",1,3972,50,9.93,5.03524672708963,0.188741746043651,"Foxl2",0.882468057299837
"MA1587.1","MA1587.1",1,4008,50,10.02,4.99001996007984,0.190362214055351,"ZNF135",0.885335376479651
"MA0474.4","MA0474.4",1,4069,50,10.1725,4.91521258294421,0.193104308857721,"Erg",0.893361513083879
"MA1709.2","MA1709.2",1,4134,50,10.335,4.83792936623125,0.196021094277357,"ZIM3",0.900155489502621
"MA1962.1","MA1962.1",1,4159,50,10.3975,4.80884828083674,0.197141528538214,"POU2F1::SOX2",0.900155489502621
"MA0146.3","MA0146.3",1,4181,50,10.4525,4.78354460655346,0.198126864421611,"Zfx",0.900155489502621
"MA0773.1","MA0773.1",1,4203,50,10.5075,4.75850582916964,0.199111595289882,"MEF2D",0.900155489502621
"MA0504.2","MA0504.2",1,4216,50,10.54,4.7438330170778,0.199693197329933,"NR2C2",0.900155489502621
"MA0593.2","MA0593.2",1,4269,50,10.6725,4.6849379245725,0.202062157803945,"FOXP2",0.906186921988101
"MA2328.1","MA2328.1",1,4347,50,10.8675,4.60087416609156,0.205542166054151,"ZBED4",0.911909287191135
"MA1652.2","MA1652.2",1,4378,50,10.945,4.56829602558246,0.206923134328358,"ZKSCAN5",0.911909287191135
"MA0522.4","MA0522.4",1,4414,50,11.035,4.53103760761214,0.208525331883297,"TCF3",0.911909287191135
"MA1558.2","MA1558.2",1,4414,50,11.035,4.53103760761214,0.208525331883297,"SNAI1",0.911909287191135
"MA1648.2","MA1648.2",1,4414,50,11.035,4.53103760761214,0.208525331883297,"TCF12",0.911909287191135
"MA0816.1","MA0816.1",1,4525,50,11.3125,4.41988950276243,0.213455242631065,"Ascl2",0.923179385955237
"MA0845.1","MA0845.1",1,4527,50,11.3175,4.41793682350342,0.213543928598215,"FOXB1",0.923179385955237
"MA2330.1","MA2330.1",1,4543,50,11.3575,4.40237728373322,0.214253236330908,"ZBTB24",0.923179385955237
"MA1618.2","MA1618.2",1,4688,50,11.72,4.26621160409556,0.220666746668667,"Ptf1A",0.946025022219758
"MA0039.5","MA0039.5",1,4733,50,11.8325,4.2256496936404,0.222651802545064,"KLF4",0.946025022219758
"MA0497.2","MA0497.2",1,4736,50,11.84,4.22297297297297,0.22278404960124,"MEF2C",0.946025022219758
"MA0032.2","MA0032.2",1,4886,50,12.215,4.09332787556283,0.229382058301457,"FOXC1",0.969359755995101
"MA1512.2","MA1512.2",1,4929,50,12.3225,4.05761817812944,0.231268300457511,"KLF11",0.972654718192117
"MA0065.3","MA0065.3",1,4960,50,12.4,4.03225806451613,0.232626715667892,"Pparg::Rxra",0.97370896700989
"MA0740.2","MA0740.2",1,5047,50,12.6175,3.96275014860313,0.236432625815646,"KLF14",0.976962846518346
"MA0517.2","MA0517.2",1,5049,50,12.6225,3.96118043176867,0.236520006750169,"STAT1::STAT2",0.976962846518346
"MA0052.5","MA0052.5",1,5054,50,12.635,3.95726157499011,0.23673843721093,"MEF2A",0.976962846518346
"MA0081.3","MA0081.3",1,5144,50,12.86,3.88802488335925,0.24066484162104,"SPIB",0.988525213948105
"MA0846.2","MA0846.2",1,5173,50,12.9325,3.866228494104,0.241927859446486,"FOXC2",0.989091109085866
"MA1712.2","MA1712.2",1,5215,50,13.0375,3.83509108341323,0.243755193879847,"ZNF454",0.991948219538822
"MA2125.1","MA2125.1",1,5324,50,13.31,3.75657400450789,0.248487274681867,"Zfp809",1
"MA0742.2","MA0742.2",1,5391,50,13.4775,3.70988684845112,0.251388614715368,"KLF12",1
"MA2341.1","MA2341.1",1,5401,50,13.5025,3.7030179596371,0.251821169279232,"FEZF2",1
"MA0747.2","MA0747.2",1,5470,50,13.675,3.6563071297989,0.25480238880972,"SP8",1
"MA1107.3","MA1107.3",1,5632,50,14.08,3.55113636363636,0.261778384459611,"KLF9",1
"MA0719.2","MA0719.2",1,5699,50,14.2475,3.50938761186173,0.264653928848221,"RHOXF1",1
"MA1627.2","MA1627.2",1,5892,50,14.73,3.39443312966735,0.272905850146254,"Wt1",1
"MA0080.7","MA0080.7",1,6102,50,15.255,3.27761389708292,0.281831729543239,"Spi1",1
"MA0050.4","MA0050.4",1,6135,50,15.3375,3.2599837000815,0.283229355733893,"Irf1",1
"MA0741.1","MA0741.1",1,6259,50,15.6475,3.19539862597859,0.288468874221855,"KLF16",1
"MA1976.2","MA1976.2",1,6305,50,15.7625,3.17208564631245,0.290407678941974,"ZNF320",1
"MA0914.2","MA0914.2",1,6471,50,16.1775,3.09071240921032,0.297382239555989,"ISL2",1
"MA1511.2","MA1511.2",1,6472,50,16.18,3.0902348578492,0.297424150603765,"KLF10",1
"MA0073.2","MA0073.2",1,6557,50,16.3925,3.05017538508464,0.30098202080052,"RREB1",1
"MA1981.2","MA1981.2",1,6657,50,16.6425,3.00435631665916,0.305156187654691,"ZNF530",1
"MA0516.3","MA0516.3",1,6843,50,17.1075,2.92269472453602,0.312886889672242,"SP2",1
"MA0685.2","MA0685.2",1,6971,50,17.4275,2.86902883373978,0.318181822045551,"SP4",1
"MA0079.5","MA0079.5",1,6976,50,17.44,2.86697247706422,0.318388239705993,"SP1",1
"MA2124.1","MA2124.1",1,7057,50,17.6425,2.83406546691229,0.321727851946299,"Hmga1",1
"MA1596.1","MA1596.1",1,7114,50,17.785,2.81135788585887,0.324073033075827,"ZNF460",1
"MA1628.2","MA1628.2",1,7253,50,18.1325,2.75747966358748,0.329774955623891,"Zic1::Zic2",1
"MA0697.3","MA0697.3",1,7253,50,18.1325,2.75747966358748,0.329774955623891,"Zic3",1
"MA1522.2","MA1522.2",1,7264,50,18.16,2.75330396475771,0.330225155628891,"MAZ",1
"MA1578.2","MA1578.2",1,7287,50,18.2175,2.74461369562234,0.331165994149854,"VEZF1",1
